O;ARCH;VEC;ALIG;IMG;KER;MINC;E;FM;S;Total_s;Read_s;Read_cyc;Write_s;Write_cyc;Conv_s;Conv_cyc;Ker_s;Ker_cyc
0;+;+;+;C;D;3;+;+;+;12.6610;0.057600;143799627;5.556833;13870102354;7.039700;17571299960;0.000100;290481
0;+;+;+;C;D;3;+;-;+;12.6485;0.056100;139958850;5.490400;13704163254;7.095133;17709567787;0.000100;308036
0;+;+;+;C;D;3;-;+;+;12.5681;0.055867;139408798;5.545500;13841617699;6.959500;17370962251;0.000100;293916
0;+;+;+;C;D;3;-;-;+;12.4501;0.057033;142346718;5.509933;13752896082;6.876033;17162690428;0.000100;300387
0;+;-;+;C;D;3;+;+;+;22.3464;0.058567;146219948;5.591067;13955315138;16.689833;41658160248;0.000100;304304
0;+;-;+;C;D;3;+;-;+;21.9111;0.057800;144252984;5.499067;13725775784;16.347200;40802907221;0.000100;283051
0;+;-;+;C;D;3;-;+;+;19.1019;0.056433;140890752;5.527700;13797254089;13.511167;33724170334;0.000100;279926
0;+;-;+;C;D;3;-;-;+;17.9666;0.058000;144812618;5.533767;13812377158;12.367800;30870346727;0.000100;272969
0;+;~;+;C;D;3;+;+;+;7.7091;0.056733;141625878;5.546267;13843631109;2.098833;5238735518;0.000100;260822
0;+;~;+;C;D;3;+;-;+;7.7005;0.056767;141693861;5.506300;13743939613;2.130300;5317261946;0.000100;270053
0;+;~;+;C;D;3;-;+;+;7.6905;0.057133;142558964;5.514100;13763350307;2.112300;5272335989;0.000100;260511
0;+;~;+;C;D;3;-;-;+;7.6438;0.057633;143772374;5.479367;13676581428;2.099833;5241262756;0.000100;282945
0;+;+;+;C;D;4;+;+;+;12.6633;0.057200;142744419;5.551400;13856407800;7.047533;17590885819;0.000100;292300
0;+;+;+;C;D;4;+;-;+;12.6540;0.057233;142901939;5.495167;13716027275;7.094667;17708499922;0.000100;290609
0;+;+;+;C;D;4;-;+;+;12.5998;0.057067;142392245;5.547800;13847462624;6.987800;17441650589;0.000100;293588
0;+;+;+;C;D;4;-;-;+;12.4562;0.058233;145398079;5.508033;13748218081;6.883000;17180171014;0.000100;284098
0;+;-;+;C;D;4;+;+;+;21.9327;0.057333;143123653;5.479700;13677448451;16.388533;40906315516;0.000100;286168
0;+;-;+;C;D;4;+;-;+;21.9156;0.059900;149448569;5.497600;13722137965;16.350667;40811793786;0.000100;276448
0;+;-;+;C;D;4;-;+;+;19.0823;0.057700;143992971;5.519800;13777521994;13.497467;33690054852;0.000100;281099
0;+;-;+;C;D;4;-;-;+;18.0362;0.058500;146074867;5.527533;13796801784;12.443100;31058464099;0.000100;288922
0;+;~;+;C;D;4;+;+;+;7.7186;0.056333;140641237;5.551200;13855931219;2.104033;5251711967;0.000100;253506
0;+;~;+;C;D;4;+;-;+;7.7088;0.056800;141723165;5.507467;13746794522;2.137567;5335413452;0.000100;265361
0;+;~;+;C;D;4;-;+;+;7.6842;0.055667;138933974;5.508133;13748420873;2.113467;5275287930;0.000100;263923
0;+;~;+;C;D;4;-;-;+;7.6449;0.055100;137543564;5.480200;13678787586;2.102767;5248553881;0.000100;256675
0;+;+;+;C;F;3;+;+;+;9.8426;0.057367;143235849;5.538400;13824004045;4.239767;10582654851;0.000100;268582
0;+;+;+;C;F;3;+;-;+;9.8158;0.057900;144530997;5.536833;13820142996;4.214233;10518796020;0.000100;260609
0;+;+;+;C;F;3;-;+;+;9.8392;0.058367;145682605;5.577800;13922334825;4.196167;10473791008;0.000100;257728
0;+;+;+;C;F;3;-;-;+;9.7804;0.056300;140497100;5.526667;13794731807;4.190233;10459022077;0.000100;252255
0;+;-;+;C;F;3;+;+;+;21.6874;0.058167;145147957;5.443400;13586894377;16.178900;40383046085;0.000100;267013
0;+;-;+;C;F;3;+;-;+;22.0613;0.056667;141392626;5.496233;13718714289;16.501167;41187487041;0.000100;260924
0;+;-;+;C;F;3;-;+;+;18.6830;0.056433;140792256;5.538900;13825288148;13.080933;32650519604;0.000100;254768
0;+;-;+;C;F;3;-;-;+;18.6500;0.057833;144333854;5.501167;13731041255;13.083967;32658036137;0.000100;249906
0;+;~;+;C;F;3;+;+;+;7.6691;0.057433;143445197;5.475900;13667978291;2.128800;5313647840;0.000100;255409
