O;ARCH;VEC;ALIG;IMG;KER;MINC;E;FM;S;Total_s;Read_s;Read_cyc;Write_s;Write_cyc;Conv_s;Conv_cyc;Ker_s;Ker_cyc
0;+;+;+;C;D;3;+;+;+;13.8371;0.059500;201832947;4.755967;16133322113;9.016067;30584629821;0.000100;396965
0;+;+;+;C;D;3;+;-;+;13.8801;0.056767;192467769;4.799033;16279441221;9.019167;30595237103;0.000100;428080
0;+;+;+;C;D;3;-;+;+;14.5865;0.056433;191284201;5.079533;17231025723;9.444100;32036614722;0.000100;418325
0;+;+;+;C;D;3;-;-;+;14.5353;0.056267;190779582;5.019133;17026060170;9.453733;32069348271;0.000100;435250
0;+;-;+;C;D;3;+;+;+;29.6284;0.057300;194481470;5.027767;17055343149;24.536533;83234046811;0.000100;421124
0;+;-;+;C;D;3;+;-;+;29.7551;0.056733;192484774;5.026933;17052441723;24.664800;83669063655;0.000100;444434
0;+;-;+;C;D;3;-;+;+;25.7797;0.057900;196452982;5.047400;17121902162;20.667867;70110534108;0.000100;425524
0;+;-;+;C;D;3;-;-;+;25.6986;0.058367;197948723;5.044467;17112067906;20.589300;69844014878;0.000100;405122
0;+;~;+;C;D;3;+;+;+;7.7860;0.055667;188815931;4.778267;16208925362;2.946933;9996608507;0.000100;411926
0;+;~;+;C;D;3;+;-;+;7.8154;0.055633;188759328;4.754133;16126806689;3.000400;10177775689;0.000100;411545
0;+;~;+;C;D;3;-;+;+;8.3057;0.057733;195848596;5.050233;17131345255;3.190967;10824230300;0.000100;383620
0;+;~;+;C;D;3;-;-;+;8.1883;0.059533;201942280;5.037933;17089550007;3.083567;10459917563;0.000100;393425
0;+;+;+;C;D;4;+;+;+;13.8050;0.055767;189137753;4.749767;16112022633;8.994400;30510699667;0.000100;406601
0;+;+;+;C;D;4;+;-;+;13.8595;0.058733;199309903;4.787867;16241377825;9.007167;30554082350;0.000100;415283
0;+;+;+;C;D;4;-;+;+;14.5677;0.056000;189948477;5.064500;17179766050;9.440367;32023514539;0.000100;435376
0;+;+;+;C;D;4;-;-;+;14.5025;0.056567;191959542;5.014433;17009931799;9.425133;31971874218;0.000100;414349
0;+;-;+;C;D;4;+;+;+;29.6078;0.056500;191768283;5.035867;17082649161;24.509000;83139699676;0.000100;433383
