O;ARCH;VEC;ALIG;IMG;KER;MINC;E;FM;S;Total_s;Read_s;Read_cyc;Write_s;Write_cyc;Conv_s;Conv_cyc;Ker_s;Ker_cyc
0;+;+;+;C;D;3;+;+;+;6.9034;0.031833;79369840;3.046633;7604303575;3.820267;9535281701;0.000100;228475
0;+;+;+;C;D;3;+;-;+;6.8209;0.030800;76880038;2.991067;7465580274;3.794800;9471672086;0.000100;240971
0;+;+;+;C;D;3;-;+;+;6.4567;0.030000;74816134;2.853567;7122407805;3.568567;8906996746;0.000100;212641
0;+;+;+;C;D;3;-;-;+;6.4533;0.030800;76903153;2.845000;7101064258;3.572833;8917768263;0.000100;223173
0;+;-;+;C;D;3;+;+;+;11.3734;0.031000;77308772;2.869333;7161801812;8.468200;21136499257;0.000100;234677
0;+;-;+;C;D;3;+;-;+;11.2986;0.032367;80720257;2.889700;7212282614;8.372000;20895627282;0.000100;218973
0;+;-;+;C;D;3;-;+;+;9.8218;0.031033;77469378;2.902333;7243898296;6.883800;17181147031;0.000100;215388
0;+;-;+;C;D;3;-;-;+;9.2798;0.031200;77919063;2.888033;7208286816;6.355800;15863413553;0.000100;219694
0;+;~;+;C;D;3;+;+;+;3.9518;0.030200;75369881;2.853767;7122728436;1.063533;2654489675;0.000100;216502
0;+;~;+;C;D;3;+;-;+;4.1536;0.030967;77299922;3.000833;7489779816;1.117333;2788646452;0.000100;238157
0;+;~;+;C;D;3;-;+;+;3.9584;0.031600;78822945;2.851167;7116158479;1.071367;2674026489;0.000100;210922
0;+;~;+;C;D;3;-;-;+;3.9269;0.031300;78128195;2.830533;7064706016;1.060100;2645940159;0.000100;205045
0;+;+;+;C;D;4;+;+;+;6.9384;0.031000;77346554;3.066933;7654740719;3.836167;9574681013;0.000100;252525
0;+;+;+;C;D;4;+;-;+;6.6257;0.030100;75148825;2.902100;7243396041;3.689433;9208460146;0.000100;239270
0;+;+;+;C;D;4;-;+;+;6.7796;0.030100;75175239;2.995533;7476571573;3.749767;9359041001;0.000100;234455
0;+;+;+;C;D;4;-;-;+;6.5938;0.032500;81142945;2.904600;7249622412;3.651133;9112946242;0.000100;237805
0;+;-;+;C;D;4;+;+;+;12.1859;0.031533;78801071;3.056433;7628406568;9.093867;22697670894;0.000200;476407
0;+;-;+;C;D;4;+;-;+;11.9306;0.031833;79447908;3.053000;7620055275;8.841133;22067026180;0.000100;221517
0;+;-;+;C;D;4;-;+;+;10.1488;0.030967;77352502;2.984567;7449341418;7.129200;17794091025;0.000100;214167
0;+;-;+;C;D;4;-;-;+;9.2783;0.030933;77190385;2.884433;7199350230;6.358767;15871154642;0.000100;222567
0;+;~;+;C;D;4;+;+;+;3.9477;0.031500;78608609;2.857367;7131814288;1.054267;2631462851;0.000100;217782
0;+;~;+;C;D;4;+;-;+;3.9749;0.030467;76017739;2.829033;7061085000;1.110633;2772163228;0.000100;213222
0;+;~;+;C;D;4;-;+;+;3.9647;0.029967;74773201;2.826833;7055630251;1.103567;2754408327;0.000100;211892
0;+;~;+;C;D;4;-;-;+;3.9034;0.031000;77394337;2.814800;7025639081;1.053000;2628243105;0.000100;193247
0;+;+;+;C;F;3;+;+;+;5.0493;0.029900;74617581;2.855200;7126432333;2.160367;5392116903;0.000100;213352
0;+;+;+;C;F;3;+;-;+;5.0415;0.030500;76106128;2.841567;7092448645;2.164667;5402983076;0.000100;202688
0;+;+;+;C;F;3;-;+;+;5.0396;0.030133;75188158;2.851467;7117141447;2.154133;5376564251;0.000100;186090
0;+;+;+;C;F;3;-;-;+;5.0083;0.030233;75452645;2.827633;7057615207;2.146067;5356516231;0.000100;197928
0;+;-;+;C;F;3;+;+;+;11.2270;0.031033;77538989;2.869500;7162092144;8.321833;20770937409;0.000100;225490
0;+;-;+;C;F;3;+;-;+;11.3900;0.029867;74567552;2.922200;7293643882;8.433800;21050433535;0.000100;210527
0;+;-;+;C;F;3;-;+;+;10.0262;0.031167;77845230;3.054433;7623696746;6.936333;17312909234;0.000100;262758
0;+;-;+;C;F;3;-;-;+;9.5624;0.030633;76437883;2.865000;7150911668;6.662567;16629491156;0.000100;214418
0;+;~;+;C;F;3;+;+;+;3.9524;0.030100;75161292;2.804800;7000652365;1.113267;2778670936;0.000100;228883
0;+;~;+;C;F;3;+;-;+;3.9298;0.029667;74016195;2.858000;7133433040;1.038467;2591951814;0.000100;193392
0;+;~;+;C;F;3;-;+;+;3.9572;0.029400;73418212;2.866333;7154246502;1.057600;2639723058;0.000100;201977
0;+;~;+;C;F;3;-;-;+;3.8910;0.030733;76732101;2.808633;7010231389;1.046867;2612899421;0.000100;200014
0;+;+;+;C;F;4;+;+;+;5.0404;0.029633;73975328;2.842333;7094392282;2.164200;5401707917;0.000100;215647
0;+;+;+;C;F;4;+;-;+;5.0504;0.030000;74862918;2.846100;7103749855;2.169967;5416179579;0.000100;206531
0;+;+;+;C;F;4;-;+;+;5.0514;0.031767;79287477;2.856100;7128638020;2.159067;5388941975;0.000100;199109
0;+;+;+;C;F;4;-;-;+;5.0140;0.030400;75866793;2.829567;7062484353;2.149767;5365708136;0.000100;204340
0;+;-;+;C;F;4;+;+;+;11.0984;0.030567;76268952;2.821733;7042891407;8.241267;20569936094;0.000100;218569
0;+;-;+;C;F;4;+;-;+;11.0951;0.030333;75691307;2.850267;7114070536;8.209600;20490860926;0.000100;220156
0;+;-;+;C;F;4;-;+;+;9.4078;0.030233;75465993;2.893167;7221165386;6.480433;16174901531;0.000100;193105
0;+;-;+;C;F;4;-;-;+;9.5585;0.031133;77632287;2.880933;7190568514;6.641733;16577373796;0.000100;237115
0;+;~;+;C;F;4;+;+;+;3.9352;0.029633;73980661;2.833167;7071417924;1.068033;2665763367;0.000100;206200
0;+;~;+;C;F;4;+;-;+;3.9459;0.029767;74214636;2.864300;7149061349;1.047333;2614079236;0.000100;205055
0;+;~;+;C;F;4;-;+;+;4.0496;0.030000;74834483;2.898533;7234419807;1.117067;2788170869;0.000100;199712
0;+;~;+;C;F;4;-;-;+;3.9992;0.029500;73630426;2.884867;7200442423;1.081200;2698585391;0.000100;206570
0;+;+;+;C;I;3;+;+;+;10.8027;0.031000;77381176;2.811300;7016796239;7.955867;19857353982;0.000100;221619
0;+;+;+;C;I;3;+;-;+;11.0598;0.030133;75269966;2.848633;7109968276;8.176267;20407522348;0.000100;194998
0;+;+;+;C;I;3;-;+;+;9.1113;0.033000;82380454;2.843200;7096431791;6.230133;15550009103;0.000100;181058
0;+;+;+;C;I;3;-;-;+;9.5026;0.031400;78337228;2.824233;7049127343;6.642333;16578978990;0.000167;375426
0;+;-;+;C;I;3;+;+;+;10.8274;0.029133;72659629;2.799967;6988452768;7.994667;19954346488;0.000100;191324
0;+;-;+;C;I;3;+;-;+;11.0072;0.031333;78187585;2.800633;6990158277;8.171100;20394596943;0.000100;193276
0;+;-;+;C;I;3;-;+;+;9.3428;0.031467;78494415;2.814067;7023765648;6.492567;16205195890;0.000100;173231
0;+;-;+;C;I;3;-;-;+;9.5247;0.032867;82029378;2.834000;7073495018;6.652933;16605387104;0.000100;173737
0;+;~;+;C;I;3;+;+;+;3.8269;0.029867;74552870;2.807667;7007770437;0.985000;2458478198;0.000100;168452
0;+;~;+;C;I;3;+;-;+;3.7851;0.029533;73764704;2.783100;6946510622;0.968333;2416884376;0.000100;178785
0;+;~;+;C;I;3;-;+;+;3.8003;0.029300;73116269;2.791133;6966553868;0.975700;2435254025;0.000100;178363
0;+;~;+;C;I;3;-;-;+;3.8101;0.028933;72240700;2.798767;6985531736;0.978400;2441991241;0.000100;161781
0;+;+;+;C;I;4;+;+;+;11.2372;0.030433;75998169;2.925033;7300649899;8.277500;20660291514;0.000100;225444
0;+;+;+;C;I;4;+;-;+;12.4888;0.031033;77400662;3.195167;7974860243;9.258933;23109855013;0.000100;258740
0;+;+;+;C;I;4;-;+;+;10.2194;0.032733;81656683;3.143233;7845265118;7.039233;17569601021;0.000100;248497
0;+;+;+;C;I;4;-;-;+;10.4893;0.032000;79903682;3.138767;7834178157;7.314733;18257227875;0.000100;237330
0;+;-;+;C;I;4;+;+;+;11.4596;0.030867;77071946;2.970167;7413360374;8.454133;21101081825;0.000100;230380
0;+;-;+;C;I;4;+;-;+;11.3177;0.033500;83596181;2.876533;7179672090;8.402333;20971855936;0.000100;226503
0;+;-;+;C;I;4;-;+;+;9.6930;0.029333;73170393;2.924500;7299301486;6.735500;16811518440;0.000100;218309
0;+;-;+;C;I;4;-;-;+;9.5950;0.029667;74007491;2.848500;7109768730;6.712767;16754879174;0.000100;190791
0;+;~;+;C;I;4;+;+;+;3.7637;0.028800;71911650;2.759233;6886945111;0.971700;2425310828;0.000100;155701
0;+;~;+;C;I;4;+;-;+;3.7544;0.028533;71218441;2.759867;6888503090;0.962333;2401890098;0.000100;150415
0;+;~;+;C;I;4;-;+;+;3.7555;0.029967;74814112;2.756067;6879074018;0.965000;2408634690;0.000100;150040
0;+;~;+;C;I;4;-;-;+;3.7640;0.030600;76448154;2.757767;6883281117;0.971200;2424006616;0.000100;146930
